Timestamp,ECG_Value
2024-10-31 15:59:38,316
2024-10-31 15:59:38,321
2024-10-31 15:59:38,320
2024-10-31 15:59:38,320
2024-10-31 15:59:38,317
2024-10-31 15:59:38,321
2024-10-31 15:59:38,323
2024-10-31 15:59:38,324
2024-10-31 15:59:38,327
2024-10-31 15:59:38,328
2024-10-31 15:59:38,326
2024-10-31 15:59:38,310
2024-10-31 15:59:38,303
2024-10-31 15:59:38,305
2024-10-31 15:59:39,334
2024-10-31 15:59:39,344
2024-10-31 15:59:39,343
2024-10-31 15:59:39,339
2024-10-31 15:59:39,292
2024-10-31 15:59:39,295
2024-10-31 15:59:39,465
2024-10-31 15:59:39,369
2024-10-31 15:59:39,328
2024-10-31 15:59:39,318
2024-10-31 15:59:39,315
2024-10-31 15:59:39,310
2024-10-31 15:59:39,307
2024-10-31 15:59:39,297
2024-10-31 15:59:39,291
2024-10-31 15:59:39,283
2024-10-31 15:59:39,288
2024-10-31 15:59:39,293
2024-10-31 15:59:39,309
2024-10-31 15:59:39,322
2024-10-31 15:59:39,331
2024-10-31 15:59:39,330
2024-10-31 15:59:39,325
2024-10-31 15:59:39,324
2024-10-31 15:59:39,324
2024-10-31 15:59:39,324
2024-10-31 15:59:39,325
2024-10-31 15:59:39,330
2024-10-31 15:59:39,331
2024-10-31 15:59:39,333
2024-10-31 15:59:39,331
2024-10-31 15:59:39,319
2024-10-31 15:59:39,307
2024-10-31 15:59:39,300
2024-10-31 15:59:39,334
2024-10-31 15:59:39,338
2024-10-31 15:59:39,343
2024-10-31 15:59:39,339
2024-10-31 15:59:39,300
2024-10-31 15:59:39,242
2024-10-31 15:59:39,466
2024-10-31 15:59:39,376
2024-10-31 15:59:39,329
2024-10-31 15:59:39,317
2024-10-31 15:59:39,315
2024-10-31 15:59:39,308
2024-10-31 15:59:39,308
2024-10-31 15:59:39,298
2024-10-31 15:59:39,291
2024-10-31 15:59:39,283
2024-10-31 15:59:40,287
2024-10-31 15:59:40,291
2024-10-31 15:59:40,299
2024-10-31 15:59:40,317
2024-10-31 15:59:40,324
2024-10-31 15:59:40,326
2024-10-31 15:59:40,321
2024-10-31 15:59:40,323
2024-10-31 15:59:40,318
2024-10-31 15:59:40,322
2024-10-31 15:59:40,321
2024-10-31 15:59:40,326
2024-10-31 15:59:40,326
2024-10-31 15:59:40,324
2024-10-31 15:59:40,325
2024-10-31 15:59:40,323
2024-10-31 15:59:40,326
2024-10-31 15:59:40,323
2024-10-31 15:59:40,322
2024-10-31 15:59:40,306
2024-10-31 15:59:40,300
2024-10-31 15:59:40,298
2024-10-31 15:59:40,327
2024-10-31 15:59:40,330
2024-10-31 15:59:40,335
2024-10-31 15:59:40,327
2024-10-31 15:59:40,285
2024-10-31 15:59:40,311
2024-10-31 15:59:40,446
2024-10-31 15:59:40,371
2024-10-31 15:59:40,320
2024-10-31 15:59:40,311
2024-10-31 15:59:40,311
2024-10-31 15:59:40,304
2024-10-31 15:59:40,300
2024-10-31 15:59:40,296
2024-10-31 15:59:40,289
2024-10-31 15:59:40,284
2024-10-31 15:59:40,283
2024-10-31 15:59:40,284
2024-10-31 15:59:40,297
2024-10-31 15:59:40,315
2024-10-31 15:59:40,323
2024-10-31 15:59:40,324
2024-10-31 15:59:40,317
2024-10-31 15:59:40,324
2024-10-31 15:59:40,316
2024-10-31 15:59:40,323
2024-10-31 15:59:40,322
2024-10-31 15:59:40,322
2024-10-31 15:59:41,327
2024-10-31 15:59:41,326
2024-10-31 15:59:41,329
2024-10-31 15:59:41,324
2024-10-31 15:59:41,325
2024-10-31 15:59:41,305
2024-10-31 15:59:41,300
2024-10-31 15:59:41,308
2024-10-31 15:59:41,332
2024-10-31 15:59:41,336
2024-10-31 15:59:41,332
2024-10-31 15:59:41,325
2024-10-31 15:59:41,279
2024-10-31 15:59:41,362
2024-10-31 15:59:41,424
2024-10-31 15:59:41,354
2024-10-31 15:59:41,312
2024-10-31 15:59:41,309
2024-10-31 15:59:41,305
2024-10-31 15:59:41,301
2024-10-31 15:59:41,293
2024-10-31 15:59:41,289
2024-10-31 15:59:41,279
2024-10-31 15:59:41,277
2024-10-31 15:59:41,277
2024-10-31 15:59:41,284
2024-10-31 15:59:41,297
2024-10-31 15:59:41,309
2024-10-31 15:59:41,317
2024-10-31 15:59:41,316
2024-10-31 15:59:41,314
2024-10-31 15:59:41,313
2024-10-31 15:59:41,314
2024-10-31 15:59:41,318
2024-10-31 15:59:41,317
2024-10-31 15:59:41,321
2024-10-31 15:59:41,323
2024-10-31 15:59:41,321
2024-10-31 15:59:41,323
2024-10-31 15:59:41,323
2024-10-31 15:59:41,323
2024-10-31 15:59:41,322
